Title,LiveUrl,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels,MSAuthor,GitHubAuthor
Manage Azure Stack Hub registration,https://docs.microsoft.com/en-us/learn/modules/manage-azure-stack-hub-registration/,7,52,348,63.16%,38,12,16,,3.043888888888889,7.024358974358974,36,,,,,azure;azure-stack;azure-storage,administrator;solution-architect,advanced,bradj,wwlpublish
Manage OneDrive migrations and deployment,https://docs.microsoft.com/en-us/learn/modules/m365-onedrive-collaboration-manage-migrations-deployment/,6,784,4066,56.80%,589,167,158,,64.60222222222222,9.913384484228475,36,4.9,10,,,m365;office-365;office-onedrive,administrator,intermediate,teleary,temanteleary
Manage SAP HANA on Azure (Large Instances),https://docs.microsoft.com/en-us/learn/modules/manage-sap-hana-azure-large-instances/,9,100,704,77.14%,70,27,27,,9.328888888888889,11.194666666666667,36,,,,,azure,administrator;solution-architect,advanced,eric,wwlpublish
Measure and optimize model performance with ROC and AUC,https://docs.microsoft.com/en-us/learn/modules/optimize-model-performance-roc-auc/,7,797,4936,66.67%,583,194,206,1,157.32472222222222,23.717294807370184,36,4.857142857142857,21,7,7,azure,ai-engineer;data-scientist;student,beginner,jasdeb,TomReidNZ
Microsoft data estate migration and modernization,https://docs.microsoft.com/en-us/learn/modules/data-estate-migration-and-modernization/,7,1402,8072,72.67%,926,335,339,1,133.63916666666665,11.487607449856734,36,4.725,40,,,azure,business-user,beginner,rknapp,wwlpublish
Migrate an on-premises web application to Azure App Service,https://docs.microsoft.com/en-us/learn/modules/migrate-app-service-migration-assistant/,8,988,3498,12.76%,488,31,32,,77.09416666666667,9.401727642276423,36,5,1,23,18,azure;azure-app-service;azure-migrate,developer,beginner,msangapu,msangapu-msft
Perform analytics in Power BI for Tableau users,https://docs.microsoft.com/en-us/learn/modules/power-bi-tableau-analytics/,8,262,1546,57.47%,174,50,48,,18.24361111111111,8.355852417302799,36,5,2,,,power-platform;power-bi,business-user;maker,beginner,robde,heyrob
Perform evidence and entities investigations using Microsoft Defender for Endpoint,https://docs.microsoft.com/en-us/learn/modules/perform-evidence-entities-investigations-microsoft-defender-for-endpoint/,7,1359,9946,71.93%,1195,428,459,1,216.2138888888889,19.190581854043394,36,4.818181818181818,11,,,m365,security-operations-analyst,intermediate,bneeb,wwlpublish
Plan a canvas app and start to build ,https://docs.microsoft.com/en-us/learn/modules/plan-canvas-app/,6,260,1628,62.24%,196,61,66,2,31.615,14.59153846153846,36,4.5,2,,,power-platform;power-apps;common-data-service,maker,beginner,jadaphillips,jadaphillips
Plan projects with Dynamics 365 Project Operations,https://docs.microsoft.com/en-us/learn/modules/plan-projects-with-dynamics-365-project-operations/,8,1451,11626,62.48%,1211,378,395,,230.72833333333332,19.094758620689657,36,4.846153846153846,13,,,dynamics-365;dynamics-project-operations,business-owner;business-user;functional-consultant;student,beginner,ceabrams,wwlpublish
Plan SAP HANA on Azure (Large Instances) high availability and disaster recovery,https://docs.microsoft.com/en-us/learn/modules/plan-sap-hana-azure-large-instances-high-availability-disaster-recovery-4/,9,102,752,80.56%,72,29,29,,11.305,13.3,36,,,,,azure,administrator;solution-architect,advanced,eric,wwlpublish
Post purchase item charges in Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/post-purchase-item-charges-dynamics-365-business-central/,6,611,3558,50.67%,447,113,114,,65.54583333333333,12.894262295081967,36,3.6666666666666665,3,,,dynamics-365;dynamics-business-central,business-user;functional-consultant,intermediate,kschimke,KevSch
