Title,LiveUrl,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid,Roles,Products,Levels,MSAuthor,GitHubAuthor
Extract text from images and documents,https://docs.microsoft.com/en-us/learn/paths/extract-text-from-images-documents/,2,1334,13419,28.92%,1103,319,358,1727,14.685482258870564,438,91,learn.wwl.extract-text-from-images-documents,ai-engineer;data-scientist;student,azure-form-recognizer,intermediate,sheryang,wwlpublish
Migrate open-source databases to Azure,https://docs.microsoft.com/en-us/learn/paths/migrate-open-source-workloads/,4,2378,15943,28.77%,219,63,64,1727,13.703069806560135,554,248,learn.wwl.migrating-open-source-workloads-to-azure,data-engineer,azure,intermediate,rcaper,wwlpublish
Defend against threats with Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/m365-security-threat-protection/,4,6370,41963,28.76%,1057,304,338,1727,23.590499738356883,5887,217,learn-m365.m365-security-threat-protection,administrator,m365;office-365;m365-threat-protection,intermediate,beccarobins,beccarobins
AZ-204: Develop solutions that use Blob storage,https://docs.microsoft.com/en-us/learn/paths/develop-solutions-that-use-blob-storage/,3,4881,67167,28.62%,4322,1237,1432,1727,33.92885337704023,470,85,learn.wwl.develop-solutions-that-use-blob-storage,developer,azure,intermediate,jeffko,wwlpublish
Gain insights into your data through intelligent tools in Power BI,https://docs.microsoft.com/en-us/learn/paths/gain-insights-into-your-data-through-intelligent-tools-power-bi/,8,27,243,28.57%,7,2,2,1727,6.974691358024692,77,263,learn.wwl.gain-insights-into-your-data-through-intelligent-tools-power-bi,business-analyst;business-owner;business-user;data-analyst,power-bi;azure-synapse-analytics,beginner,dahans,wwlpublish
Azure Fundamentals part 6: Describe Azure cost management and service level agreements (AZ-900),https://docs.microsoft.com/en-us/learn/paths/az-900-describe-azure-cost-management-service-level-agreements/,2,40147,391909,28.42%,33731,9588,10648,1727,28.14636004350678,28978,70,learn.az-900-describe-azure-cost-management-service-level-agreements,administrator;business-analyst;business-user;data-engineer;data-scientist;developer;devops-engineer;solution-architect,azure,beginner,robbarefoot,Randall-Knapp
Integrate Azure Cosmos DB SQL API with Azure services,https://docs.microsoft.com/en-us/learn/paths/integrate-azure-cosmos-db-sql-api-azure-services/,3,181,2257,28.37%,141,40,45,1727,26.664088397790056,11,117,learn.wwl.integrate-azure-cosmos-db-sql-api-azure-services,developer,azure-cosmos-db,intermediate,calopez,wwlpublish
AZ-204: Develop solutions that use Azure Cosmos DB,https://docs.microsoft.com/en-us/learn/paths/az-204-develop-solutions-that-use-azure-cosmos-db/,3,4693,63385,28.03%,3974,1114,1276,1727,34.23207259038284,443,94,learn.wwl.az-204-develop-solutions-that-use-azure-cosmos-db,developer,azure;azure-cosmos-db,intermediate,jeffko,wwlpublish
Deploy and work with Account Protection and Purchase Protection for Dynamics 365 Fraud Protection,https://docs.microsoft.com/en-us/learn/paths/deploy-work-account-purchase-protection/,5,236,2084,28.00%,50,14,20,1727,14.595338983050848,5,312,learn-dynamics.deploy-work-account-purchase-protection,functional-consultant;administrator;business-user;developer,dynamics-365;dynamics-fraud-protection,intermediate,cstorega,cstorega
Get started with Microsoft Cloud for Healthcare,https://docs.microsoft.com/en-us/learn/paths/healthcare-in-a-day/,9,191,2646,27.85%,79,22,25,1727,10.512739965095985,20,347,learn-bizapps.healthcare-in-a-day,business-user;functional-consultant,industry-solutions;mscloud-healthcare,beginner,dbeasley,DaveBeasley
Process and translate text with Azure Cognitive Services,https://docs.microsoft.com/en-us/learn/paths/process-translate-text-azure-cognitive-services/,2,1716,18590,27.67%,1395,386,428,1727,19.227301864801866,278,108,learn.wwl.process-translate-text-azure-cognitive-services,ai-engineer;developer,azure-cognitive-services,intermediate,gmalc,wwlpublish
Manage work orders in Dynamics 365 Field Service,https://docs.microsoft.com/en-us/learn/paths/manage-work-orders/,4,509,4896,27.40%,208,57,59,1727,36.70514079895219,14,207,learn-dynamics.manage-work-orders,functional-consultant;business-user,dynamics-365;dynamics-field-service,intermediate,kschimke,KevSch
