,LearningPathUid_x,LearningPathUrl,TotalModules,Certification,Title,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid_y,Roles,Products,Levels,Month,Year
122,learn.az-900-describe-cloud-concepts,https://docs.microsoft.com/en-us/learn/paths/az-900-describe-cloud-concepts/,3,az-900,Azure Fundamentals part 1: Describe core Azure concepts (AZ-900),3,"314,251","2,980,570",11.66%,"252,167","29,392","32,595",2180,28.19455435,"86,133",94,learn.az-900-describe-cloud-concepts,administrator;solution-architect;developer;student,azure;azure-resource-manager;azure-functions,beginner,11,2021
123,learn.az-900-describe-azure-cost-management-service-level-agreements,https://docs.microsoft.com/en-us/learn/paths/az-900-describe-azure-cost-management-service-level-agreements/,2,az-900,Azure Fundamentals part 6: Describe Azure cost management and service level agreements (AZ-900),2,"40,591","416,454",34.08%,"32,715","11,150","12,525",2180,27.88795546,"24,215",70,learn.az-900-describe-azure-cost-management-service-level-agreements,administrator;business-analyst;business-user;data-engineer;data-scientist;developer;devops-engineer;solution-architect,azure,beginner,11,2021
124,learn-bizapps.visual-data-power-bi,https://docs.microsoft.com/en-us/learn/paths/visualize-data-power-bi/,4,da-100,Visualize data in Power BI,4,"17,900","230,084",14.33%,"12,355","1,770","1,923",2180,35.73346462,"12,833",350,learn-bizapps.visual-data-power-bi,data-analyst,power-bi,intermediate,11,2021
125,learn-bizapps.model-power-bi,https://docs.microsoft.com/en-us/learn/paths/model-power-bi/,3,da-100,Model data in Power BI,3,"23,782","243,312",15.53%,"14,114","2,192","2,390",2180,41.33284557,"13,115",331,learn-bizapps.model-power-bi,data-analyst,power-bi,intermediate,11,2021
126,learn-bizapps.manage-workspaces-datasets-power-bi,https://docs.microsoft.com/en-us/learn/paths/manage-workspaces-datasets-power-bi/,3,da-100,Manage workspaces and datasets in Power BI,3,"8,892","87,065",21.47%,"6,631","1,424","1,553",2180,26.59973759,"8,079",70,learn-bizapps.manage-workspaces-datasets-power-bi,data-analyst,power-bi,intermediate,11,2021
127,learn-bizapps.get-started-data-analytics,https://docs.microsoft.com/en-us/learn/paths/data-analytics-microsoft/,2,da-100,Get started with Microsoft data analytics,2,"128,954","664,753",18.99%,"37,409","7,105","7,660",2180,13.95310731,"22,068",76,learn-bizapps.get-started-data-analytics,data-analyst,power-bi,intermediate,11,2021
128,learn-bizapps.data-preparation-in-power-bi,https://docs.microsoft.com/en-us/learn/paths/prepare-data-power-bi/,2,da-100,Prepare data for analysis,2,"26,218","293,120",19.25%,"17,677","3,402","3,706",2180,39.92552191,"14,642",206,learn-bizapps.data-preparation-in-power-bi,data-analyst,power-bi,intermediate,11,2021
129,learn-bizapps.data-analysis-power-bi,https://docs.microsoft.com/en-us/learn/paths/perform-analytics-power-bi/,2,da-100,Data analysis in Power BI,2,"12,269","96,392",16.60%,"9,932","1,649","1,774",2180,19.87600185,"10,926",112,learn-bizapps.data-analysis-power-bi,data-analyst,power-bi,intermediate,11,2021
130,learn.wwl.create-machine-learn-models,https://docs.microsoft.com/en-us/learn/paths/create-machine-learn-models/,5,dp-100,Create machine learning models,5,"14,085","112,263",4.88%,"10,482",512,540,2180,29.65995503,"7,337",318,learn.wwl.create-machine-learn-models,ai-engineer;data-scientist;developer;student,vs-code;azure,intermediate,11,2021
131,learn.wwl.build-operate-machine-learning-solutions-azure-databricks,https://docs.microsoft.com/en-us/learn/paths/build-operate-machine-learning-solutions-azure-databricks/,10,dp-100,Build and operate machine learning solutions with Azure Databricks,10,"2,768","42,677",7.80%,"2,359",184,193,2180,34.47810092,331,260,learn.wwl.build-operate-machine-learning-solutions-azure-databricks,data-scientist,azure-databricks;azure-machine-learning,intermediate,11,2021
132,learn.data-ai.build-ai-solutions-with-azure-ml-service,https://docs.microsoft.com/en-us/learn/paths/build-ai-solutions-with-azure-ml-service/,15,dp-100,Build and operate machine learning solutions with Azure Machine Learning,15,"7,519","124,306",6.29%,"5,090",320,308,2180,42.19262313,"8,693",647,learn.data-ai.build-ai-solutions-with-azure-ml-service,data-scientist;student,azure;azure-machine-learning;azure-portal,intermediate,11,2021
133,learn.wwl.work-with-hybrid-transactional-analytical-processing-solutions,https://docs.microsoft.com/en-us/learn/paths/work-with-hybrid-transactional-analytical-processing-solutions/,4,dp-203,Work with Hybrid Transactional and Analytical Processing Solutions using Azure Synapse Analytics,4,"1,923","27,273",26.43%,"1,377",364,394,2180,32.0175767,735,146,learn.wwl.work-with-hybrid-transactional-analytical-processing-solutions,data-engineer,azure-synapse-analytics,intermediate,11,2021
134,learn.wwl.work-with-data-warehouses-using-azure-synapse-analytics,https://docs.microsoft.com/en-us/learn/paths/work-with-data-warehouses-using-azure-synapse-analytics/,9,dp-203,Work with Data Warehouses using Azure Synapse Analytics,9,"5,372","110,334",13.39%,"3,151",422,454,2180,54.26907111,"1,498",453,learn.wwl.work-with-data-warehouses-using-azure-synapse-analytics,data-engineer,azure-synapse-analytics,intermediate,11,2021
135,learn.wwl.realize-integrated-analytical-solutions-with-azure-synapse-analytics,https://docs.microsoft.com/en-us/learn/paths/realize-integrated-analytical-solutions-with-azure-synapse-analytics/,4,dp-203,Realize Integrated Analytical Solutions with Azure Synapse Analytics,4,"6,229","82,856",16.87%,"4,085",689,743,2180,36.65284155,"1,563",196,learn.wwl.realize-integrated-analytical-solutions-with-azure-synapse-analytics,data-engineer,azure-synapse-analytics,beginner,11,2021
